timestamp,angle_deg,velocity_deg_s,torque_nm
1769366030.169943,-0.079129,0.000000,0.000000
1769366030.179903,-0.079129,0.000000,0.000000
1769366030.189948,-0.079129,0.000000,0.000000
1769366030.199986,-0.079129,0.000000,0.000000
1769366030.210210,-0.079129,0.000000,0.000000
1769366030.220252,-0.079129,0.000000,0.000000
1769366030.230307,-0.079129,0.000000,0.000000
1769366030.240375,-0.079129,0.000000,-0.000000
1769366030.250423,-0.079129,0.000000,0.000000
1769366030.260473,-0.079129,-0.000000,0.000000
1769366030.270854,-0.079129,0.000000,0.000000
1769366030.280913,-0.079129,0.000000,0.000000
1769366030.290958,-0.079129,0.000000,0.000000
1769366030.301009,-0.079129,0.000000,0.000000
1769366030.311061,-0.079129,0.000000,0.000000
1769366030.321130,-0.079129,0.000000,0.000000
1769366030.331202,-0.079129,0.000000,0.000000
1769366030.341246,-0.079129,0.000000,0.000000
1769366030.351503,-0.079129,0.000000,0.000000
1769366030.361542,-0.079129,0.000000,0.000000
1769366030.371682,-0.079129,0.000000,0.000000
1769366030.381692,-0.079129,0.000000,0.000000
1769366030.391736,-0.079129,0.000000,0.000000
1769366030.402059,-0.079129,0.000000,0.000000
1769366030.412105,-0.079129,0.000000,0.000000
1769366030.422184,-0.088469,-0.926705,0.008087
1769366030.432229,-0.088469,0.000000,0.000000
1769366030.442456,-0.096913,-0.825638,0.007205
1769366030.453506,-0.096913,0.000000,0.000000
1769366030.463557,-0.096913,0.000000,0.000000
1769366030.473704,-0.125115,-2.779111,0.024252
1769366030.483670,-0.125115,0.000000,0.000000
1769366030.494462,-0.167859,-3.960639,0.034563
1769366030.504525,-0.167859,0.000000,0.000000
1769366030.514565,-0.167859,0.000000,0.000000
1769366030.524633,-0.223812,-5.557009,0.048494
1769366030.534682,-0.223812,0.000000,0.000000
1769366030.544729,-0.223812,0.000000,0.000000
1769366030.554810,-0.285305,-6.099896,0.053232
1769366030.564852,-0.285305,0.000000,0.000000
1769366030.575170,-0.360452,-7.282852,0.063555
1769366030.585265,-0.360452,0.000000,0.000000
1769366030.595268,-0.360452,0.000000,0.000000
1769366030.605432,-0.445872,-8.403763,0.073337
1769366030.615459,-0.445872,0.000000,0.000000
1769366030.625519,-0.541039,-9.460399,0.082558
1769366030.635575,-0.541039,0.000000,0.000000
1769366030.645621,-0.541039,0.000000,0.000000
1769366030.655708,-0.648910,-10.693493,0.093318
1769366030.665760,-0.648910,0.000000,0.000000
1769366030.676001,-0.768209,-11.649091,0.101657
1769366030.686242,-0.768209,0.000000,0.000000
1769366030.696285,-0.768209,0.000000,0.000000
1769366030.706350,-0.896123,-12.708099,0.110899
1769366030.716374,-0.896123,0.000000,0.000000
1769366030.726607,-1.037021,-13.769109,0.120158
1769366030.736696,-1.037021,0.000000,0.000000
1769366030.746743,-1.037021,0.000000,0.000000
1769366030.756822,-1.190238,-15.202502,0.132667
1769366030.766870,-1.190238,0.000000,0.000000
1769366030.777030,-1.351592,-15.882067,0.138597
1769366030.787793,-1.351592,0.000000,0.000000
1769366030.797799,-1.351592,0.000000,0.000000
1769366030.807874,-1.528253,-17.534029,0.153013
1769366030.817938,-1.528253,0.000000,0.000000
1769366030.827926,-1.528253,0.000000,0.000000
1769366030.838227,-1.713674,-18.000051,0.157080
1769366030.848275,-1.713674,0.000000,0.000000
1769366030.858377,-1.912679,-19.700448,0.171919
1769366030.868402,-1.912679,0.000000,0.000000
1769366030.878459,-2.122557,-20.870356,0.182128
1769366030.888703,-2.122557,0.000000,0.000000
1769366030.898756,-2.122557,0.000000,0.000000
1769366030.908919,-2.341722,-21.564360,0.188185
1769366030.919016,-2.341722,0.000000,0.000000
1769366030.929075,-2.341722,0.000000,0.000000
1769366030.939250,-2.579053,-23.326015,0.203558
1769366030.949320,-2.579053,0.000000,0.000000
1769366030.959389,-2.791272,-21.076279,0.183925
1769366030.969417,-2.791272,0.000000,0.000000
1769366030.979487,-3.049139,-25.607133,0.223464
1769366030.989757,-3.049139,0.000000,0.000000
1769366030.999806,-3.049139,0.000000,0.000000
1769366031.009869,-3.277061,-22.651325,0.197670
1769366031.019917,-3.277061,0.000000,0.000000
1769366031.029969,-3.277061,0.000000,0.000000
1769366031.040040,-3.559206,-28.013441,0.244463
1769366031.050107,-3.559206,0.000000,0.000000
1769366031.060162,-3.799002,-23.847715,0.208111
1769366031.070213,-3.799002,0.000000,0.000000
1769366031.080276,-3.799002,0.000000,0.000000
1769366031.090351,-4.105234,-30.392843,0.265228
1769366031.100395,-4.105234,0.000000,0.000000
1769366031.110732,-4.360104,-24.656408,0.215168
1769366031.120826,-4.360104,0.000000,0.000000
1769366031.130861,-4.360104,0.000000,0.000000
1769366031.140981,-4.693540,-32.947691,0.287523
1769366031.151010,-4.693540,0.000000,0.000000
1769366031.161756,-4.899689,-19.184618,0.167417
1769366031.171900,-4.899689,0.000000,0.000000
1769366031.181919,-4.899689,0.000000,0.000000
1769366031.192044,-5.226587,-32.288738,0.281772
1769366031.202043,-5.226587,0.000000,0.000000
1769366031.212119,-5.594727,-36.536243,0.318839
1769366031.222491,-5.594727,0.000000,0.000000
1769366031.232538,-5.594727,0.000000,0.000000
1769366031.242679,-5.800996,-20.339320,0.177494
1769366031.252701,-5.800996,0.000000,0.000000
1769366031.263098,-6.196134,-38.006045,0.331665
1769366031.273158,-6.196134,0.000000,0.000000
1769366031.283209,-6.196134,0.000000,0.000000
1769366031.293278,-6.472075,-27.403958,0.239145
1769366031.303324,-6.472075,0.000000,0.000000
1769366031.313380,-6.889384,-41.499416,0.362151
1769366031.323904,-6.889384,0.000000,0.000000
1769366031.333932,-6.889384,0.000000,0.000000
1769366031.343996,-7.138825,-24.785152,0.216291
1769366031.354042,-7.138825,0.000000,0.000000
1769366031.364122,-7.584397,-44.204215,0.385755
1769366031.374187,-7.584397,0.000000,0.000000
1769366031.384231,-7.584397,0.000000,0.000000
1769366031.394331,-7.869747,-28.251468,0.246541
1769366031.404346,-7.869747,0.000000,0.000000
1769366031.414408,-8.335723,-46.308320,0.404116
1769366031.425104,-8.335723,0.000000,0.000000
1769366031.435099,-8.335723,0.000000,0.000000
1769366031.445155,-8.671701,-33.413059,0.291584
1769366031.455210,-8.671701,0.000000,0.000000
1769366031.465266,-9.151374,-47.696694,0.416232
1769366031.475359,-9.151374,0.000000,0.000000
1769366031.485366,-9.151374,0.000000,0.000000
1769366031.495441,-9.455661,-30.201913,0.263561
1769366031.505493,-9.455661,0.000000,0.000000
1769366031.515903,-9.962755,-48.711897,0.425091
1769366031.525952,-9.962755,0.000000,0.000000
1769366031.535988,-9.962755,0.000000,0.000000
1769366031.546043,-10.243557,-27.928382,0.243721
1769366031.556105,-10.243557,0.000000,0.000000
1769366031.566147,-10.717098,-47.155123,0.411506
